id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
SE;SUDESTE/CENTRO-OESTE;2021-01-02 04:00:00;22886.93399999;6932.79999999;0E-8;0E-8;30382.04499999;-562.31099999
S;SUL;2021-01-02 04:00:00;1137.23600000;1222.50600000;236.29800000;0E-8;7874.01200000;-5277.97200000
NE;NORDESTE;2021-01-02 05:00:00;4049.11300000;2451.04799999;6009.43400000;3.67600000;9575.09100000;2938.18000000
N;NORTE;2021-01-02 05:00:00;4847.36100000;2913.14700000;249.06700000;0E-8;5448.93200000;2560.64300000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-02 05:00:00;32358.81000000;13543.95000000;6552.24500000;4.20800000;52459.21000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-02 05:00:00;22336.14599999;6962.48400000;0E-8;0.53200000;29769.79099999;-470.62899999
S;SUL;2021-01-02 05:00:00;1126.18999999;1217.27100000;293.74400000;0E-8;7665.39900000;-5028.19400000
NE;NORDESTE;2021-01-02 06:00:00;3197.80800000;2438.91299999;5322.43599999;224.38500000;9238.26399999;1945.27800000
N;NORTE;2021-01-02 06:00:00;4773.58999999;2913.78200000;230.42300000;0E-8;5179.36599999;2738.42900000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-02 06:00:00;31360.07400000;13549.25100000;5856.26600000;282.90200000;51048.49000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-02 06:00:00;22255.82499999;6960.76899999;0E-8;58.51700000;29085.80899999;189.30199999
S;SUL;2021-01-02 06:00:00;1132.85099999;1235.78699999;303.40700000;0E-8;7545.05400000;-4873.00900000
NE;NORDESTE;2021-01-02 07:00:00;3175.18300000;2437.86200000;5409.06000000;859.67299999;9359.81200000;2521.96600000
N;NORTE;2021-01-02 07:00:00;4786.10200000;2867.55000000;267.20100000;0E-8;5053.31700000;2867.53600000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-02 07:00:00;31590.43000000;13499.90300000;5941.03800000;1119.19100000;52150.56000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-02 07:00:00;22491.04400000;6962.27899999;0E-8;259.51799999;29819.78299999;-106.94200000
S;SUL;2021-01-02 07:00:00;1138.10100000;1232.21200000;264.77700000;0E-8;7917.65000000;-5282.56000000
NE;NORDESTE;2021-01-02 08:00:00;3509.37400000;2442.41100000;4569.57900000;1046.43500000;9465.81400000;2101.98499999
N;NORTE;2021-01-02 08:00:00;5253.75700000;2812.26899999;253.26000000;0E-8;5098.58800000;3220.69800000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-02 08:00:00;33712.96700000;13569.54200000;5070.16100000;1493.19400000;53845.86000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-02 08:00:00;23767.63999999;7083.19200000;0E-8;446.75900000;31030.31299999;267.27800000
S;SUL;2021-01-02 08:00:00;1182.19599999;1231.66999999;247.32199999;0E-8;8251.14900000;-5589.96100000
